,1. open,2. high,3. low,4. close,5. volume
2024-11-13,822.5,831.65,804.45,808.35,454522.0
2024-11-12,851.0,853.0,824.1,826.4,467134.0
2024-11-11,847.0,853.65,841.45,847.8,1417460.0
2024-11-08,860.0,863.65,834.3,843.25,1106664.0
2024-11-07,860.05,862.45,846.7,859.25,494821.0
2024-11-06,850.0,861.0,846.2,854.75,896339.0
2024-11-05,829.0,851.2,826.1,849.2,1335383.0
2024-11-04,822.65,837.5,807.05,829.85,458939.0
2024-10-31,821.95,828.0,813.45,820.5,497763.0
2024-10-30,830.0,832.9,821.05,822.4,322347.0
2024-10-29,796.5,834.5,790.5,832.65,1593501.0
2024-10-28,783.2,803.95,783.2,792.05,675658.0
2024-10-25,798.45,800.0,772.05,780.6,650630.0
2024-10-24,786.05,796.8,784.5,794.7,183971.0
2024-10-23,790.0,792.5,779.6,785.95,467975.0
2024-10-22,814.15,816.35,787.6,790.45,604778.0
2024-10-21,822.05,826.35,809.1,814.15,584223.0
2024-10-18,811.0,822.4,803.1,819.95,429099.0
2024-10-17,806.05,819.25,806.05,810.9,948591.0
2024-10-16,801.05,808.9,801.05,805.85,142406.0
2024-10-15,805.0,807.6,801.5,804.6,314354.0
2024-10-14,800.15,809.0,800.15,805.25,755286.0
2024-10-11,797.0,802.5,793.0,800.0,381115.0
2024-10-10,799.9,804.35,795.05,796.95,163966.0
2024-10-09,787.95,805.0,782.55,797.0,807499.0
2024-10-08,771.1,784.5,771.1,782.05,295906.0
2024-10-07,797.05,803.9,765.55,769.8,1587972.0
2024-10-04,790.3,809.65,785.2,796.6,1154183.0
2024-10-03,787.4,803.95,784.35,794.35,768391.0
2024-10-01,788.95,799.75,788.25,797.0,227883.0
2024-09-30,801.15,802.5,786.15,787.6,1054719.0
2024-09-27,802.0,807.85,798.4,802.65,669965.0
2024-09-26,795.15,803.0,791.55,801.9,432917.0
2024-09-25,798.25,798.25,788.65,792.95,524539.0
2024-09-24,800.0,804.1,796.65,798.35,427650.0
2024-09-23,785.05,804.9,785.0,801.8,1415077.0
2024-09-20,794.05,794.4,779.5,781.9,1481791.0
2024-09-19,794.15,801.25,784.1,790.35,402071.0
2024-09-18,783.55,794.5,781.3,792.35,681430.0
2024-09-17,786.0,787.5,780.65,783.05,240500.0
2024-09-16,793.45,795.3,784.1,785.45,624666.0
2024-09-13,790.85,795.0,784.85,790.55,1064575.0
2024-09-12,775.0,789.7,772.9,788.05,312891.0
2024-09-11,781.65,788.0,765.65,768.3,521913.0
2024-09-10,788.65,788.95,777.65,782.6,582017.0
2024-09-09,785.0,788.05,771.3,784.3,1433332.0
2024-09-06,813.9,813.9,777.05,782.6,2498701.0
2024-09-05,818.0,821.9,814.3,818.6,318031.0
2024-09-04,813.0,818.65,813.0,816.5,278846.0
2024-09-03,821.2,825.9,816.75,824.75,293326.0
2024-09-02,816.45,825.3,813.0,822.1,1129356.0
2024-08-30,818.45,820.35,814.3,815.65,598533.0
2024-08-29,809.35,815.95,807.3,814.5,271349.0
2024-08-28,813.8,817.1,806.9,809.3,196716.0
2024-08-27,816.85,819.3,811.05,815.15,464853.0
2024-08-26,819.35,823.35,814.2,815.35,1278721.0
2024-08-23,821.05,821.7,814.2,815.25,560060.0
2024-08-22,819.85,823.7,817.4,820.15,494896.0
2024-08-21,820.0,821.0,811.4,815.8,248423.0
2024-08-20,818.75,822.9,813.2,820.0,308095.0
2024-08-19,814.05,825.0,812.35,813.65,743917.0
2024-08-16,803.5,815.1,803.2,812.45,768630.0
2024-08-14,800.7,809.0,800.4,802.95,287718.0
2024-08-13,813.1,819.4,795.1,797.3,641102.0
2024-08-12,819.2,822.6,810.85,813.0,1142861.0
2024-08-09,816.8,829.9,809.85,824.2,822817.0
2024-08-08,813.85,817.9,803.0,807.65,680135.0
2024-08-07,811.5,811.5,800.3,809.1,604072.0
2024-08-06,820.6,826.8,795.65,797.75,582520.0
2024-08-05,827.05,831.4,801.05,811.1,2389678.0
2024-08-02,856.2,859.95,846.6,847.9,1047656.0
2024-08-01,877.95,881.5,861.15,862.75,516927.0
2024-07-31,874.65,874.8,867.7,872.75,320361.0
2024-07-30,874.95,880.5,869.1,873.0,510195.0
2024-07-29,866.95,889.0,863.1,872.0,2248880.0
2024-07-26,847.95,864.6,844.45,862.95,614705.0
2024-07-25,848.9,850.85,841.1,848.3,490585.0
2024-07-24,864.15,868.1,847.35,852.25,625866.0
2024-07-23,881.35,884.4,849.1,863.9,958750.0
2024-07-22,876.35,895.3,873.0,878.35,1401888.0
2024-07-19,896.35,898.8,883.05,889.2,709711.0
2024-07-18,880.7,894.75,877.1,893.4,1064600.0
2024-07-16,882.2,888.0,874.55,880.85,600861.0
2024-07-15,860.0,886.9,860.0,881.6,1981455.0
2024-07-12,856.7,863.4,855.5,859.65,905757.0
2024-07-11,854.7,858.0,849.55,856.55,481214.0
2024-07-10,861.0,861.0,843.3,849.1,479702.0
2024-07-09,860.0,869.9,855.85,860.95,758991.0
2024-07-08,859.5,864.8,852.9,856.25,1108215.0
2024-07-05,838.7,861.55,837.65,860.05,1499246.0
2024-07-04,844.6,844.6,834.5,839.25,674690.0
2024-07-03,829.7,843.8,825.05,840.1,1672011.0
2024-07-02,844.85,846.45,822.85,826.35,1099939.0
2024-07-01,850.0,850.55,839.95,842.1,1084488.0
2024-06-28,847.5,863.75,844.15,848.85,1916294.0
2024-06-27,845.05,847.4,838.4,844.15,473372.0
2024-06-26,841.8,848.6,836.0,845.05,543783.0
2024-06-25,838.65,845.75,834.95,841.85,538485.0
2024-06-24,832.75,836.05,820.85,832.65,2194566.0
2024-06-21,845.0,848.0,828.65,836.4,1667384.0
